BTC_IMF,VAR_IMF,VAR_NAME,F_stat,p_value,Lag,Obs
1,1,mp_exp_d,0.23950698653134392,0.6247611516485442,1,544
1,2,mp_exp_d,0.1301003530504991,0.7184690643247519,1,544
1,3,mp_exp_d,0.012389570007427464,0.911413117605639,1,544
2,1,mp_exp_d,1.0795684986085876,0.29925910617114254,1,544
2,2,mp_exp_d,0.6730169610261358,0.4123637092070894,1,544
2,3,mp_exp_d,0.0016409616080673675,0.9677024762716858,1,544
3,1,mp_exp_d,7.366152191120685e-05,0.9931553065650377,1,544
3,2,mp_exp_d,0.06027698542279765,0.8061519678921671,1,544
3,3,mp_exp_d,0.7921935754679575,0.3738340103522666,1,544
1,1,news_sent,0.6662504437694295,0.4147192040240414,1,548
1,2,news_sent,0.9632390914199698,0.32680841226339863,1,548
1,3,news_sent,8.691775585783834,0.0033337680333538405,1,548
2,1,news_sent,0.006571028159301669,0.9354225559963666,1,548
2,2,news_sent,0.010208312675680713,0.9195589542712489,1,548
2,3,news_sent,0.06397288223199403,0.8004189259687692,1,548
3,1,news_sent,0.002345096035719216,0.9613943592381354,1,548
3,2,news_sent,0.0037644363796076313,0.9510990216590577,1,548
3,3,news_sent,0.02426883136402994,0.8762606250867383,1,548
1,1,policy_risk_gr,0.6484302494534033,0.42102627708671536,1,548
1,2,policy_risk_gr,0.08823963511894659,0.7665405266533842,1,548
1,3,policy_risk_gr,0.0043941672987975605,0.9471724802831931,1,548
2,1,policy_risk_gr,0.037151640008691075,0.8472285728157213,1,548
2,2,policy_risk_gr,2.6286769461219364,0.10552855643572577,1,548
2,3,policy_risk_gr,0.018639069182204523,0.8914567896345036,1,548
3,1,policy_risk_gr,7.843871479402946e-05,0.9929368240596613,1,548
3,2,policy_risk_gr,0.004499617928283838,0.9465433050897125,1,548
3,3,policy_risk_gr,5.0439819178745156,0.025112197768845317,1,548
1,1,sp500_ret,6.441761846766342,0.01142360165407993,1,550
1,2,sp500_ret,0.7573798148834028,0.3845321926266305,1,550
1,3,sp500_ret,0.01993448317652155,0.8877722930211933,1,550
2,1,sp500_ret,0.00607040298977122,0.9379259680953587,1,550
2,2,sp500_ret,5.431393829192536,0.02014120453285345,1,550
2,3,sp500_ret,0.002486917034957924,0.9602450191257635,1,550
3,1,sp500_ret,0.05489090535792189,0.8148491634573545,1,550
3,2,sp500_ret,0.0007124434056975008,0.9787154371944693,1,550
3,3,sp500_ret,19.563592199593177,1.174845724943556e-05,1,550
1,1,brent_gr,20.194672879368557,8.544136865184327e-06,1,550
1,2,brent_gr,0.028084016765840686,0.8669735025533312,1,550
1,3,brent_gr,0.012216212072173358,0.9120320724360794,1,550
2,1,brent_gr,0.002377264166120974,0.9611306237727748,1,550
2,2,brent_gr,1.564468007984433,0.21154793206016081,1,550
2,3,brent_gr,0.03264468771390162,0.8566870495358463,1,550
3,1,brent_gr,0.0019149087787571242,0.9651119728036783,1,550
3,2,brent_gr,0.0005475777081473937,0.9813394524667136,1,550
3,3,brent_gr,2.0812227769839904,0.14969407861922696,1,550
1,1,gold_ret,5.239054729706868,0.02246624514201898,1,550
1,2,gold_ret,3.496270152029573e-08,0.9998508773552196,1,550
1,3,gold_ret,0.05375650412865574,0.8167379030790403,1,550
2,1,gold_ret,0.0641610492483174,0.8001314972626318,1,550
2,2,gold_ret,5.525051771951269,0.019100870493672806,1,550
2,3,gold_ret,0.029364074172416696,0.8640045946014265,1,550
3,1,gold_ret,3.172375951016996e-05,0.9955080880663794,1,550
3,2,gold_ret,0.01200231523217578,0.9128024909370361,1,550
3,3,gold_ret,7.104615615147975,0.007916197072747558,1,550
1,1,hy_ret,1.7293776914185341,0.18904241700769844,1,550
1,2,hy_ret,0.5907907666773788,0.4424458246684001,1,550
1,3,hy_ret,0.013174611267665259,0.9086611363686847,1,550
2,1,hy_ret,0.015382308549138314,0.9013407805835753,1,550
2,2,hy_ret,0.20247987102950066,0.652905163179853,1,550
2,3,hy_ret,0.002149436506158033,0.9630386627600983,1,550
3,1,hy_ret,0.004819902647936692,0.9446763353272647,1,550
3,2,hy_ret,0.018221307816475858,0.892672433200801,1,550
3,3,hy_ret,11.664186110291695,0.0006845269172313018,1,550
1,1,gpr_gr,0.006167401634330696,0.9374331130171862,1,548
1,2,gpr_gr,0.07440416229289233,0.7851325610757799,1,548
1,3,gpr_gr,0.0010127516880797467,0.974624270833715,1,548
2,1,gpr_gr,13.550903992074275,0.0002553258965661157,1,548
2,2,gpr_gr,0.13581168328877163,0.7126241566636546,1,548
2,3,gpr_gr,0.00027697931706713265,0.9867277649972139,1,548
3,1,gpr_gr,0.015251727560335009,0.9017584634709473,1,548
3,2,gpr_gr,0.2580000309636942,0.6117033857349493,1,548
3,3,gpr_gr,0.022775184858932714,0.8800991088584394,1,548
1,1,vix_gr,0.14883471424075506,0.6998017111428977,1,550
1,2,vix_gr,0.030615244639707336,0.8611664003373594,1,550
1,3,vix_gr,0.08954467140072632,0.7648706794363667,1,550
2,1,vix_gr,0.10221410110827692,0.7493109266197524,1,550
2,2,vix_gr,0.04387891255369675,0.834157190609505,1,550
2,3,vix_gr,0.010496607305122965,0.9184347709194034,1,550
3,1,vix_gr,0.043186042408383245,0.8354528475242232,1,550
3,2,vix_gr,0.058507388815030044,0.8089616373356412,1,550
3,3,vix_gr,0.5290242724872072,0.46732911581366643,1,550
1,1,dxy_gr,1.406956935089131,0.23607811663946235,1,550
1,2,dxy_gr,0.024869190887621406,0.8747517503341894,1,550
1,3,dxy_gr,0.020618489063053903,0.885876113738902,1,550
2,1,dxy_gr,0.003078826921583521,0.9557706423866021,1,550
2,2,dxy_gr,0.5019774710206937,0.4789348941520287,1,550
2,3,dxy_gr,0.01647210148484033,0.8979242537762614,1,550
3,1,dxy_gr,0.0044379732715164495,0.9469101098704616,1,550
3,2,dxy_gr,0.029716307460350096,0.8631993815890263,1,550
3,3,dxy_gr,8.020588102726348,0.004795551976688447,1,550
1,1,emv,0.12552050617065358,0.723259796403354,1,548
1,2,emv,0.1475143583690204,0.7010722099904593,1,548
1,3,emv,43.2853437717905,1.1133815701952011e-10,1,548
2,1,emv,0.0005734519599433301,0.980903779713303,1,548
2,2,emv,0.01001726569581043,0.9203126916930912,1,548
2,3,emv,0.1425177117997412,0.7059380225453918,1,548
3,1,emv,0.001672655267896239,0.9673921308674283,1,548
3,2,emv,0.00026541630978613433,0.9870077300816963,1,548
3,3,emv,0.009850565268332955,0.9209763273991985,1,548
1,1,wei,2.0615580213268414,0.15162829719009327,1,550
1,2,wei,1.628252647988653,0.2024874445506304,1,550
1,3,wei,0.0005769925093203742,0.9808448985101339,1,550
2,1,wei,0.0004607141131434192,0.9828831612534373,1,550
2,2,wei,0.003871973161512581,0.9504062812115177,1,550
2,3,wei,0.008596241596070767,0.9261632589942129,1,550
3,1,wei,0.0018848937533415392,0.9653863035543977,1,550
3,2,wei,7.517519778333726e-05,0.9930853047029189,1,550
3,3,wei,9.607277784070577,0.0020379598702004115,1,550
1,1,claims_dlog,20.38061969368553,7.779965113545242e-06,1,550
1,2,claims_dlog,0.7140157470362527,0.39848400914053095,1,550
1,3,claims_dlog,0.3977528318330867,0.5285159599811169,1,550
2,1,claims_dlog,5.203527842430752e-06,0.9981807609363738,1,550
2,2,claims_dlog,0.5856388927057442,0.4444411593193355,1,550
2,3,claims_dlog,6.488099982788916,0.011133046086660705,1,550
3,1,claims_dlog,0.0006354875953525474,0.9798975649686381,1,550
3,2,claims_dlog,0.00043397836543109257,0.9833871639283285,1,550
3,3,claims_dlog,0.2862836867478072,0.592829769122706,1,550
1,1,eer_dlog,0.00945565585784447,0.9225714615335489,1,548
1,2,eer_dlog,0.08549538740155269,0.7700953928896258,1,548
1,3,eer_dlog,0.010987509587868868,0.916556226383728,1,548
2,1,eer_dlog,0.0026475700676095704,0.9589822103646665,1,548
2,2,eer_dlog,1.0408775780519215,0.3080709527260043,1,548
2,3,eer_dlog,0.03241692488753321,0.8571827117478188,1,548
3,1,eer_dlog,0.0011604979697526331,0.972836950643421,1,548
3,2,eer_dlog,0.004924038317169985,0.9440829515866488,1,548
3,3,eer_dlog,0.3716246992398998,0.542374524031944,1,548
1,1,ffr_d2,0.4486079353861132,0.5032809533977481,1,548
1,2,ffr_d2,0.020558537707907592,0.8860412075491807,1,548
1,3,ffr_d2,0.0014012250982562118,0.9701535398279947,1,548
2,1,ffr_d2,10.73522880699987,0.0011181493417397141,1,548
2,2,ffr_d2,0.007776489286131912,0.9297625645145844,1,548
2,3,ffr_d2,0.004484893183751291,0.9466307126303212,1,548
3,1,ffr_d2,0.007495652680461949,0.9310392575348395,1,548
3,2,ffr_d2,4.953465362331865,0.026447489669884933,1,548
3,3,ffr_d2,17.97257239887304,2.633096393769105e-05,1,548
1,1,infl5y_d,0.1398170081309496,0.7086081531411168,1,550
1,2,infl5y_d,0.2750941814048559,0.6001477095398694,1,550
1,3,infl5y_d,0.009193799082110923,0.9236476448863329,1,550
2,1,infl5y_d,5.323922297941066,0.021407764270923876,1,550
2,2,infl5y_d,0.030478082762962003,0.8614745899046035,1,550
2,3,infl5y_d,0.004627602212246522,0.9457894575656185,1,550
3,1,infl5y_d,0.0187156493946314,0.8912352405704521,1,550
3,2,infl5y_d,0.031798497029010775,0.8585367699143426,1,550
3,3,infl5y_d,8.716162579674801,0.0032896640375315216,1,550
1,1,recprob1y_d,0.6235260492739271,0.43008277082932334,1,550
1,2,recprob1y_d,0.0013158487434960034,0.9710766373077961,1,550
1,3,recprob1y_d,0.04551373576216898,0.8311418126572928,1,550
2,1,recprob1y_d,5.1882357540945346e-05,0.9942555652918268,1,550
2,2,recprob1y_d,5.070880299719989,0.024727617672020037,1,550
2,3,recprob1y_d,0.002331349292505327,0.9615075237309384,1,550
3,1,recprob1y_d,0.00045304539910263875,0.9830261945765185,1,550
3,2,recprob1y_d,0.04012082914362107,0.8413191029015977,1,550
3,3,recprob1y_d,2.1439968963901914,0.14370406116069895,1,550
1,1,gt_infl_d,0.023295008910534994,0.8787487959659485,1,550
1,2,gt_infl_d,0.06797109629758508,0.7944123925931459,1,550
1,3,gt_infl_d,0.002741230012452516,0.9582635790218176,1,550
2,1,gt_infl_d,2.6100501587918785,0.10676605255555631,1,550
2,2,gt_infl_d,3.339833871992539,0.06816705906820884,1,550
2,3,gt_infl_d,0.0017816390522922788,0.9663471468368523,1,550
3,1,gt_infl_d,0.01099276389172246,0.9165362086625832,1,550
3,2,gt_infl_d,0.1150443581306727,0.7346031203651195,1,550
3,3,gt_infl_d,0.050629025583643614,0.8220565010223708,1,550
1,1,gt_recess,0.4012525590863631,0.5267083325710847,1,550
1,2,gt_recess,0.2287551189036019,0.6326398741118868,1,550
1,3,gt_recess,0.08658483087544269,0.768676411826485,1,550
2,1,gt_recess,0.003961918224925611,0.9498343157067111,1,550
2,2,gt_recess,0.3996186434172664,0.5275508792971557,1,550
2,3,gt_recess,0.4550347914328043,0.5002391722697712,1,550
3,1,gt_recess,0.0005548401334364955,0.9812161370954499,1,550
3,2,gt_recess,3.896245735538671e-06,0.9984257848200198,1,550
3,3,gt_recess,0.12494118742338409,0.7238723963689407,1,550
1,1,gt_climate,6.651695491514539,0.010166662027360307,1,550
1,2,gt_climate,0.020748564061564643,0.8855191749207063,1,550
1,3,gt_climate,0.0034731625263776564,0.9530266034059963,1,550
2,1,gt_climate,0.0013269797661137335,0.9709546147060726,1,550
2,2,gt_climate,0.04232802329393246,0.8370724514058668,1,550
2,3,gt_climate,0.008626357810901049,0.9260344031603609,1,550
3,1,gt_climate,0.0001467385213986414,0.9903394325410313,1,550
3,2,gt_climate,0.001212634766820202,0.9722336822331081,1,550
3,3,gt_climate,1.869654256547954,0.17207729451057457,1,550
